02:12:05.973 [main] INFO  io.models.Client - Клиент "Алиса" создал: модуль = 23, базовый код = 5, секретный код = 4
02:12:05.976 [main] INFO  io.models.Client - Клиент "Боб" создал: модуль = 23, базовый код = 5, секретный код = 7
02:12:05.977 [main] INFO  io.models.Client - Клиент "Алиса" вычислил A: 4.0
02:12:05.977 [main] INFO  io.models.Courier - Курьер "Алексей" получил A1 = 4.0
02:12:05.978 [main] INFO  io.models.Client - Клиент "Боб" получил A: 4.0
02:12:05.978 [main] INFO  io.models.Client - Клиент "Боб" создал секретный ключ: 8.0
02:12:05.978 [main] INFO  io.models.Client - Клиент "Боб" вычислил A: 17.0
02:12:05.978 [main] INFO  io.models.Courier - Курьер "Алексей" получил A2 = 17.0
02:12:05.978 [main] INFO  io.models.Client - Клиент "Алиса" получил A: 17.0
02:12:05.978 [main] INFO  io.models.Client - Клиент "Алиса" создал секретный ключ: 8.0
02:12:05.978 [main] INFO  io.Net - Клиент "Алиса" имеет ключ 8.0
02:12:05.978 [main] INFO  io.Net - Клиент "Боб" имеет ключ 8.0
02:12:05.979 [main] INFO  io.Net - Курьер "Алексей" видит значения {A1=4.0, A2=17.0}
